date,open,high,low,close,volume
02-01-01,6.3341,6.3736,5.8544,5.8804,5407200
03-01-01,5.8471,6.1067,5.8087,5.9188,5447200
04-01-01,5.925,5.9323,5.465,5.5034,3863200
05-01-01,5.4972,5.7371,5.328,5.328,5183200
08-01-01,5.3352,5.6592,5.3352,5.5034,5059200
09-01-01,5.5792,5.5813,5.4131,5.4578,932000
10-01-01,5.4256,5.6073,5.3871,5.4713,1529600
11-01-01,5.4515,5.5606,5.4058,5.5097,1717600
12-01-01,5.4453,5.5554,5.3736,5.4515,1492000
16-01-01,5.5034,5.5294,5.3352,5.3736,1631200
17-01-01,5.4515,5.4972,5.3477,5.3612,1569600
18-01-01,5.3934,5.465,5.2636,5.3612,3610400
19-01-01,5.3591,5.3736,5.1982,5.276,2032000
22-01-01,5.2698,5.5813,5.2573,5.5616,2697600
23-01-01,5.5782,5.763,5.5616,5.6987,3495200
24-01-01,5.6737,5.7506,5.5169,5.6467,1695200
25-01-01,5.6332,5.6447,5.4837,5.5554,1912800
26-01-01,5.5429,5.7246,5.4775,5.5554,1847200
29-01-01,5.5813,5.815,5.5554,5.7173,1940000
30-01-01,5.761,5.8669,5.7308,5.8087,1701600
31-01-01,5.8087,6.0226,5.8087,5.9063,1816800
01-02-01,5.9063,5.9904,5.8409,5.925,813600
02-02-01,5.9074,6.0164,5.9063,5.9323,1452000
05-02-01,5.9323,6.1587,5.9063,5.9188,1588000
06-02-01,5.9904,6.114,5.9385,5.9842,1369600
07-02-01,5.9655,6.1919,5.9655,6.0683,1036000
08-02-01,6.0548,6.14,5.9769,5.9769,3504000
09-02-01,5.979,5.9842,5.7371,5.7765,2230400
12-02-01,5.763,5.9385,5.6592,5.8804,2493600
13-02-01,5.8731,6.0226,5.8087,5.8669,1340800
14-02-01,4.9977,5.2833,4.9199,4.9386,25908800
15-02-01,4.9521,5.14,4.8607,5.0756,6023200
16-02-01,5.0819,5.1275,4.9323,5.0164,3518400
20-02-01,5.0154,5.0881,4.9583,4.9842,5548800
21-02-01,4.9521,5.0621,4.9323,4.978,5820800
22-02-01,4.9344,4.9842,4.8285,4.9386,6103200
23-02-01,4.9261,4.9261,4.7766,4.8939,5448000
26-02-01,4.8866,4.9458,4.8025,4.8679,2075200
27-02-01,4.8046,4.8607,4.7766,4.7963,3643200
28-02-01,4.7267,4.7309,4.3612,4.4786,16044000
01-03-01,4.4848,4.5492,4.4329,4.4651,8969600
02-03-01,4.4329,4.5949,4.3872,4.5107,8087200
05-03-01,4.4786,4.5305,4.3674,4.4713,2776800
06-03-01,4.5689,4.5949,4.3674,4.5429,6329600
07-03-01,4.5492,4.5627,4.3612,4.5045,4925600
08-03-01,4.4651,4.6405,4.4526,4.5824,2590400
09-03-01,4.5689,4.6146,4.4526,4.5056,2345600
12-03-01,4.5409,4.5751,4.4713,4.5045,4063200
13-03-01,4.5201,4.6665,4.5045,4.6343,3177600
14-03-01,4.5377,4.5949,4.491,4.5689,2893600
15-03-01,4.5606,4.6603,4.5564,4.6146,2491200
16-03-01,4.6603,4.7963,4.627,4.6665,7088000
19-03-01,4.6862,4.7901,4.5627,4.6862,1495200
20-03-01,4.679,4.9386,4.679,4.8347,3920000
21-03-01,4.816,4.8545,4.7049,4.7766,2016000
22-03-01,4.6987,4.7382,4.4526,4.653,6976000
23-03-01,4.7247,4.7963,4.5949,4.653,3622400
26-03-01,4.7122,4.8088,4.6665,4.7506,3032000
27-03-01,4.7568,4.7641,4.627,4.7184,2728800
28-03-01,4.7049,4.7049,4.4651,4.4786,5887200
29-03-01,4.4526,4.4526,4.1535,4.3415,6145600
30-03-01,4.3436,4.4651,4.3228,4.3747,6206400
02-04-01,4.4007,4.4651,4.3747,4.3934,4002400
03-04-01,4.4069,4.4526,4.1016,4.219,4946400
04-04-01,4.1743,4.3031,4.0435,4.0892,1914400
05-04-01,4.1473,4.4131,4.1473,4.2574,4852800
06-04-01,4.2252,4.3674,4.2055,4.2117,10111200
09-04-01,4.2314,4.3093,4.1608,4.273,2061600
10-04-01,4.2698,4.4651,4.2678,4.4298,3998400
