Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1880,-0.74,-0.34,-0.42,-0.6,-0.29,-0.42,-0.41,0.14,-0.44,-0.61,-0.45,-0.48
1881,-0.73,-0.56,-0.31,-0.19,0.05,-1.02,-0.46,-0.17,-0.27,-0.4,-0.47,-0.07
1882,0.19,-0.04,-0.02,-0.52,-0.3,-0.96,-0.63,-0.04,-0.01,-0.24,-0.33,-0.61
1883,-0.61,-0.88,-0.39,-0.25,-0.28,0.51,0.05,-0.09,-0.39,-0.5,-0.63,-0.33
1884,-0.53,-0.28,-0.34,-0.88,-1.12,-0.75,-0.77,0.23,-0.3,-0.7,-0.75,-0.93
1885,-0.85,-0.72,-0.85,-0.8,-0.42,-0.85,-0.55,-0.08,-0.08,0.04,-0.31,0.08
1886,-0.69,-0.76,-0.62,-0.56,-0.47,-0.75,-0.32,-0.66,-0.36,-0.79,-0.43,-0.68
1887,-0.82,-1.22,-0.55,-0.79,-0.81,-0.62,-0.36,-0.21,-0.57,-0.5,-0.87,-0.61
1888,-0.7,-0.79,-0.88,-0.28,-0.72,-0.53,-0.32,-0.32,-0.38,-0.24,-0.02,-0.14
1889,-0.26,0.19,0.08,0.14,0.13,-0.28,-0.38,-0.57,-0.35,-0.18,-0.41,-0.42
1890,-0.58,-0.61,-0.6,-0.51,-0.9,-0.56,-0.58,-0.59,-0.33,-0.25,-0.74,-0.51
1891,-0.94,-1.06,-0.51,-0.66,-0.46,-0.55,-0.72,-0.56,-0.51,-0.56,-0.55,0.04
1892,-0.6,-0.29,-0.57,-0.68,-0.63,-0.54,-0.36,-0.24,-0.45,-0.31,-0.6,-0.57
1893,-1.41,-0.97,-0.57,-0.64,-0.71,-0.66,-0.13,-0.33,-0.25,-0.08,-0.12,-0.36
1894,-0.84,-0.61,-0.4,-0.65,-0.65,-0.47,-0.36,-0.31,-0.42,-0.08,-0.15,-0.16
1895,-0.68,-0.78,-0.5,-0.46,-0.29,-0.28,-0.53,-0.18,-0.14,-0.09,-0.16,-0.07
1896,-0.22,-0.28,-0.53,-0.46,-0.43,-0.45,-0.2,-0.38,-0.1,-0.02,-0.44,-0.21
1897,-0.26,-0.5,-0.31,-0.11,-0.25,-0.17,-0.1,-0.3,-0.15,-0.22,0,-0.22
1898,-0.11,-0.43,-0.81,-0.56,-0.63,-0.3,-0.35,-0.23,-0.02,-0.39,-0.49,-0.2
