Year,Yearly Sunspot Number
1811.5,1.4
1812.5,5
1813.5,12.2
1814.5,13.9
1815.5,35.4
1816.5,45.8
1817.5,41
1818.5,30.1
1819.5,23.9
1820.5,15.6
1821.5,6.6
1822.5,4
1823.5,1.8
1824.5,8.5
1825.5,16.6
1826.5,36.3
1827.5,49.6
1828.5,64.2
1829.5,67
1830.5,70.9
1831.5,47.8
1832.5,27.5
1833.5,8.5
1834.5,13.2
1835.5,56.9
1836.5,121.5
1837.5,138.3
1838.5,103.2
1839.5,85.7
1840.5,64.6
1841.5,36.7
1842.5,24.2
1843.5,10.7
1844.5,15
1845.5,40.1
1846.5,61.5
1847.5,98.5
1848.5,124.7
1849.5,96.1
1850.5,66.5
1851.5,64.2
1852.5,54.1
1853.5,39
1854.5,20.5
1855.5,6.7
1856.5,4.3
1857.5,22.8
1858.5,55
1859.5,93.9
1860.5,95.9
1861.5,77.2
1862.5,59
1863.5,44
1864.5,47
1865.5,30.4
1866.5,16.2
1867.5,7.3
1868.5,37.6
1869.5,74.1
1870.5,139.1
1871.5,111.1
1872.5,101.4
1873.5,66
1874.5,44.6
1875.5,17
1876.5,11.3
1877.5,12.4
1878.5,3.4
1879.5,6
1880.5,32.2
1881.5,54.3
1882.5,59.4
1883.5,63.7
1884.5,63.5
1885.5,51.8
1886.5,25.5
1887.5,13.1
1888.5,6.7
1889.5,6.2
1890.5,7.1
1891.5,35.7
1892.5,73
1893.5,85.2
1894.5,78
1895.5,63.9
1896.5,41.7
1897.5,26.2
1898.5,26.7
1899.5,12.1
1900.5,9.4
1901.5,2.7
1902.5,5.1
1903.5,24.4
1904.5,42.1
1905.5,63.3
1906.5,54.1
1907.5,61.7
1908.5,48.5
1909.5,43.9
1910.5,18.5
1911.5,5.7
1912.5,3.6
1913.5,1.4
1914.5,9.6
1915.5,47.4
1916.5,57
1917.5,104.2
1918.5,80.8
1919.5,63.5
1920.5,37.6
1921.5,26.1
1922.5,14.2
1923.5,5.8
1924.5,16.7
1925.5,44.4
1926.5,63.9
1927.5,68.8
1928.5,77.8
1929.5,64.9
1930.5,35.6
1931.5,21.1
1932.5,11.1
1933.5,5.5
1934.5,8.7
1935.5,36.1
1936.5,79.7
1937.5,114.4
1938.5,109.6
1939.5,88.8
1940.5,67.8
1941.5,47.5
1942.5,30.4
1943.5,16.3
1944.5,9.7
1945.5,33.2
1946.5,92.6
1947.5,151.6
1948.5,136.3
1949.5,134.7
1950.5,83.9
1951.5,69.4
1952.5,31.5
1953.5,13.9
1954.5,4.4
1955.5,38
1956.5,141.7
1957.5,190.2
1958.5,184.8
1959.5,159
1960.5,112.3
1961.5,53.9
1962.5,37.5
1963.5,27.9
1964.5,10.2
1965.5,15.1
1966.5,47
1967.5,93.8
1968.5,105.9
1969.5,105.5
1970.5,104.5
1971.5,66.6
1972.5,68.9
1973.5,38
1974.5,34.5
1975.5,15.5
1976.5,12.6
1977.5,27.5
1978.5,92.5
1979.5,155.4
1980.5,154.6
1981.5,140.5
1982.5,115.9
1983.5,66.8
1984.5,45.7
1985.5,18
1986.5,13.4
1987.5,29.4
1988.5,100.2
1989.5,157.6
1990.5,142.6
1991.5,145.7
1992.5,94.3
1993.5,54.6
1994.5,29.9
1995.5,17.5
1996.5,8.6
1997.5,21.5
1998.5,64.3
1999.5,93.3
2000.5,119.6
2001.5,111
2002.5,104
2003.5,63.7
2004.5,40.4
2005.5,29.8
2006.5,15.2
2007.5,7.5
2008.5,2.9
2009.5,3.1
2010.5,16.5
2011.5,55.7
2012.5,57.7
2013.5,64.9
2014.5,78.9
